B;C;D;E;F
26/08/2015;DG#01;155928;32952;211,33
26/08/2015;DG#02;0;10;#DIV/0!
26/08/2015;DG#03;197976;41682;210,54
26/08/2015;DG#04;191680;40318;210,34
26/08/2015;DG#05;189552;40020;211,13
26/08/2015;DG#06;88352;19036;215,46
26/08/2015;DG#07;205624;42428;206,34
26/08/2015;DG#08;111504;23554;211,24
26/08/2015;DG#09;192176;40420;210,33
26/08/2015;DG#10;0;0;#DIV/0!
26/08/2015;DG#11;0;0;#DIV/0!
26/08/2015;DG#12;204544;43096;210,69
26/08/2015;DG#13;0;0;#DIV/0!
26/08/2015;DG#14;0;0;#DIV/0!
26/08/2015;DG#15;192952;40796;211,43
26/08/2015;DG#16;0;0;#DIV/0!
26/08/2015;DG#17;184880;38968;210,77
26/08/2015;DG#18;197864;41934;211,93
26/08/2015;DG#19;0;0;#DIV/0!
26/08/2015;DG#20;183120;38820;211,99
26/08/2015;DG#21;0;0;#DIV/0!
26/08/2015;DG#22;197664;41436;209,63
26/08/2015;DG#23;0;48;#DIV/0!
28/09/2015;DG#01;209120;43604;208,51
28/09/2015;DG#02;0;0;#DIV/0!
28/09/2015;DG#03;0;0;#DIV/0!
28/09/2015;DG#04;0;0;#DIV/0!
28/09/2015;DG#05;0;0;#DIV/0!
28/09/2015;DG#06;210048;44330;211,05
28/09/2015;DG#07;0;0;#DIV/0!
28/09/2015;DG#08;190728;39886;209,13
28/09/2015;DG#09;0;0;#DIV/0!
28/09/2015;DG#10;0;0;#DIV/0!
28/09/2015;DG#11;0;0;#DIV/0!
28/09/2015;DG#12;0;0;#DIV/0!
28/09/2015;DG#13;0;0;#DIV/0!
28/09/2015;DG#14;0;0;#DIV/0!
28/09/2015;DG#15;1560;386;247,44
28/09/2015;DG#16;0;0;#DIV/0!
28/09/2015;DG#17;0;0;#DIV/0!
28/09/2015;DG#18;178576;37744;211,36
28/09/2015;DG#19;0;0;#DIV/0!
28/09/2015;DG#20;192664;40658;211,03
28/09/2015;DG#21;0;0;#DIV/0!
28/09/2015;DG#22;0;0;#DIV/0!
28/09/2015;DG#23;209024;43682;208,98
01/12/2015;DG#01;0;0;#DIV/0!
01/12/2015;DG#02;0;0;#DIV/0!
01/12/2015;DG#03;0;0;#DIV/0!
01/12/2015;DG#04;0;0;#DIV/0!
01/12/2015;DG#05;0;0;#DIV/0!
